Matrix,n,nnz,flops,Tile_preprocess_ms,Tile_step1_ms,Tile_step2_ms,Tile_step3_ms,Tile_malloc_ms,Tile_total_ms,Tile_GFlops,GPU_step1_ms,GPU_step2_ms,GPU_step3_ms,GPU_total_ms,GPU_GFlops,Speedup
torso1,116158,8516500,7598748124,215.11,1.49,7.85,165.12,0.85,175.35,86.67,1.19,3.98,21.8,26.97,563.42,6.50x
troll,213453,11985111,708402807,65.83,1.26,2.34,25.64,0.97,30.27,46.81,0.95,1.81,7.24,9.99,141.79,3.03x
tsyl201,20685,2454957,308227437,88.37,1.06,1.22,16.37,0.65,19.34,31.87,0.76,1.05,3.35,5.16,119.49,3.75x
uk-2002,18520486,298113762,14603305014,2248.81,369.09,,,,,,0.85,0.1,0.03,0.97,30030.16,
vas_stokes_1M,1090664,34767207,985679918,679.42,23.55,121.44,170.55,1.33,316.92,6.22,11.9,96.18,109.43,217.51,9.06,1.46x
vas_stokes_2M,2146677,65129037,1758734169,1311.32,40.73,195.5,273.31,1.71,511.3,6.88,0.65,0.09,0.04,0.77,4567.86,664.03x
vas_stokes_4M,4382246,131577616,3553402698,1822.35,93.07,353.06,487.61,4.81,938.61,7.57,0.67,0.09,0.03,0.79,8978.32,1188.11x
vsp_bcsstk30_500sep_10in_1Kout,58348,4033156,339135198,799.73,20.53,1227.98,3823.5,1.15,5073.22,0.13,20.5,1828.29,1530.06,3378.85,0.2,1.50x
vsp_msc10848_300sep_100in_1Kout,21996,2442056,324579262,292.4,17.46,223.69,771.55,1.01,1013.78,0.64,17.31,382.51,368.73,768.55,0.84,1.32x
wb-edu,9845725,57156537,1559579990,1059.91,40.99,81.22,87.69,1.52,211.49,14.75,0.82,0.1,0.03,0.95,3295.15,222.62x
webbase-1M,1000005,3105536,69524195,286.56,10.35,8.04,19.9,0.96,39.31,3.54,5.85,4.39,4.25,14.49,9.59,2.71x
wiki-topcats,1791489,28511807,2662974839,1965.94,,,,,,,0.74,0.09,0.04,0.86,6168.63,
wikipedia-20051105,1634989,19753078,2373873670,2082.18,,,,,,,0.72,0.1,0.04,0.85,5607.43,
wikipedia-20060925,2983494,37269096,5015045714,4666.61,,,,,,,0.77,0.09,0.04,0.9,11151.29,
wikipedia-20061104,3148440,39383235,5364494074,5088.67,,,,,,,0.74,0.09,0.04,0.87,12370.62,
wikipedia-20070206,3566907,45030389,6398018911,5835.47,,,,,,,0.82,0.09,0.04,0.94,13582.75,
x104,108384,10167624,1046272464,124.22,1.19,1.94,31.74,1.02,35.94,58.23,0.9,1.59,6.82,9.31,224.71,3.86x
